STT,SOBAODANH,Toán,Văn,Lí,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ
331,1018351,8.0,8.75,,,,4.75,,,6.0,N1
332,1018352,6.8,9.0,,,,,,,6.6,N1
333,1018354,7.6,9.25,,,,,,,6.0,N1
334,1018355,,9.25,,,,8.75,8.25,,,
335,1018356,,8.25,,,,7.5,8.25,,,
336,1018357,8.6,9.0,,,,9.5,8.5,,,
337,1018358,8.6,,6.75,,,,,,5.8,N1
338,1018359,7.0,7.75,,,,4.5,8.5,8.25,5.8,N1
339,1018360,7.0,8.25,,,,4.25,4.75,6.75,7.8,N1
340,1018361,6.2,7.5,,,,4.5,7.5,7.75,9.0,N1
341,1018362,5.0,7.0,,,,7.0,9.25,8.75,,
342,1018363,,8.0,,,,7.75,8.0,9.75,5.6,N1
343,1018364,,8.0,,,,8.5,7.5,8.5,6.8,N1
344,1018365,8.4,9.0,,,,,,,6.8,N1
345,1018366,,8.75,,,,6.75,7.5,,7.2,N1
346,1018368,8.2,8.75,,,,,,,7.0,N1
347,1018369,6.8,,,7.0,4.75,,,,,
348,1018371,7.2,8.75,,,,,,,7.4,N1
349,1018372,,8.0,,,,6.0,7.75,,,
350,1018373,,7.5,,,,8.5,8.75,9.5,,
351,1018374,8.0,9.5,,,,,,,8.0,N1
352,1018375,,8.25,,,,4.25,4.75,,,
353,1018376,,4.75,,,,4.5,6.0,7.5,,
354,1018377,8.2,,5.5,,,,,,6.2,N1
355,1018379,,8.25,,,,9.0,9.5,,,
356,1018381,,5.0,,,,5.75,7.25,,,
357,1018382,,7.0,,,,8.0,8.0,,,
358,1018383,,7.25,,,,7.75,6.5,,,
359,1018385,7.8,6.75,,,,8.75,8.5,,,
360,1018386,,7.0,,,,3.75,5.5,,,
361,1018387,3.4,7.5,,,,8.0,6.75,8.25,,
362,1018388,,5.0,,,,4.0,5.25,,,
363,1018389,,4.5,,,,4.75,4.75,8.0,,
364,1018390,6.6,7.25,,,,6.25,7.75,,7.0,N1
365,1018391,,9.0,,,,8.5,9.25,,,
366,1018392,8.8,,3.5,6.0,,,,,6.8,N1
367,1018393,7.0,9.5,,,,,,,6.2,N1
368,1018394,4.8,9.0,,,,,,,4.4,N1
369,1018395,7.8,,6.25,6.5,,,,,,
370,1018396,8.2,9.25,8.25,,,,,,6.8,N1
371,1018397,7.6,,,4.0,,,,,4.2,N1
372,1018398,8.6,8.5,,,,,,,7.6,N1
373,1018399,4.0,7.0,,,,5.25,8.0,,,
374,1018400,,7.0,,,,6.5,5.25,,,
375,1018402,,9.0,,,,,,,,
376,1018403,,7.25,,,,4.5,6.75,,,
377,1018404,6.6,6.5,,,,8.0,8.5,8.5,,
378,1018405,7.6,7.0,,,,,,,5.0,N1
379,1018406,4.4,6.5,,,,5.25,6.75,8.5,,
380,1018407,7.2,8.5,,,,7.0,7.5,7.75,6.6,N1
381,1018408,3.2,,3.0,3.5,,,,,,
382,1018409,3.0,7.0,,,,6.25,8.0,6.5,,
383,1018410,,6.5,,,,7.75,6.5,9.25,5.6,N1
384,1018411,,6.5,,,,8.25,7.25,,,
385,1018412,5.4,6.5,,,,,,,4.8,N1
386,1018414,8.8,7.75,9.25,,,,,,,
387,1018415,7.2,7.0,,,,,,,7.2,N1
388,1018416,8.2,,,8.25,8.75,,,,,
389,1018417,,7.75,,,,6.0,7.25,,,
390,1018418,6.2,7.5,,,,,,,5.0,N1
391,1018419,7.4,7.75,,,,,,,7.8,N1
392,1018420,,7.5,,,,8.0,7.0,,,
393,1018422,,8.25,,,,9.75,10.0,9.0,,
394,1018423,,8.25,,,,7.75,8.25,,,
395,1018424,8.4,9.0,8.5,2.75,2.5,,,,8.0,N1
